Name,Description,Category,URL,Tissue types,Organisms
Human Cell Atlas (HCA),Comprehensive reference dataset that provides gene expression data from a broad range of human cell types across multiple tissues. It's one of the most widely used reference resources for mapping and annotating human cell types,Database,https://www.humancellatlas.org/,Many,Human
PanglaoDB,"Freely accessible database that compiles a list of marker genes for different human and mouse cell types, offering a useful reference for identifying clusters based on known cell markers.",Database,https://panglaodb.se/,Many,"Human,Mouse"
Allen Brain Atlas,Provides detailed gene expression data specifically for neural and brain-related studies. It’s particularly valuable when working with clusters derived from brain tissues or studying neuronal subtypes,Database,https://portal.brain-map.org/cell-types,Brain,"Human,Mouse"
MapMyCells,"Tool that allows you to map your scRNA-seq data to reference cell type atlases, such as the Human Cell Atlas. This enables you to match your clusters against well-characterized cell types from various tissues or conditions, providing fast and accurate annotations for your data.",Other algorithm / tool,https://portal.brain-map.org/atlases-and-data/bkp/mapmycells,Brain,"Human,Mouse"
scGPT,"scGPT (Single-cell GPT) is an AI-powered tool that uses generative pre-trained transformers (GPT) to predict cell types based on RNA-seq data. This AI model has been trained on vast datasets, enabling it to recognize patterns across a wide variety of cell types and tissues.",AI / ML method,https://github.com/bowang-lab/scGPT,,
CellTypist,Supervised machine learning approach to classify cells into types based on expression profiles. It is trained on large-scale single-cell RNA-seq datasets and can predict cell types for a variety of tissues and conditions. You can also train CellTypist on your own data or use its existing models for annotations.,AI / ML method,https://www.celltypist.org/,,
scMatch,"Similar to CellTypist, scMatch uses a machine learning classifier to annotate single-cell clusters based on predefined cell type labels. It compares your dataset to a reference set of known cell types and makes predictions based on the closest matches. It's particularly useful for studies where you have a smaller set of reference cell types or marker genes.",AI / ML method,https://github.com/asrhou/scMatch,,
scCatch,This tool uses a computational approach to predict cell types based on their gene expression profiles. scCatch is particularly useful if you want to annotate your clusters using a small set of known marker genes or if you want to integrate multiple datasets to get more robust annotations.,Other algorithm / tool,https://github.com/ZJUFanLab/scCATCH,,
Seurat,"Popular bioinformatics packages like Seurat (for clustering analysis) and SingleR (for reference-based annotation) can also be extremely helpful. Seurat offers various ways to visualize and cluster your data, while SingleR performs annotation by comparing your clusters’ gene expression to reference cell type libraries.",Other algorithm / tool,https://satijalab.org/seurat/,,
SingleR,"Popular bioinformatics packages like Seurat (for clustering analysis) and SingleR (for reference-based annotation) can also be extremely helpful. Seurat offers various ways to visualize and cluster your data, while SingleR performs annotation by comparing your clusters’ gene expression to reference cell type libraries.",Other algorithm / tool,https://bioconductor.org/packages/release/bioc/html/SingleR.html,,
SCINA,"A marker gene-based approach, SCINA uses a set of marker genes to classify cell types. You can also manually inspect the expression of these markers in your clusters to assign annotations.",Other algorithm / tool,https://dbai.biohpc.swmed.edu/scina/,,
Garnett,"Supervised machine learning tool that annotates cell types in single-cell RNA-seq datasets based on marker gene signatures. It uses a user-provided set of reference marker genes to train a classifier, which can then be used to label new datasets.",AI / ML method,https://cole-trapnell-lab.github.io/garnett/,,
CellAssign,An algorithm designed for single-cell RNA-seq data that assigns cell types by incorporating prior knowledge of marker gene expression. It uses a probabilistic model to improve the accuracy of cell type assignments by accounting for the possibility of multi-cell type expression patterns.,AI / ML method,https://github.com/Irrationone/cellassign,,
scPred,"Supervised machine learning tool designed for classifying cell types in single-cell RNA-seq data, using a support vector machine (SVM) classifier trained on a reference set of marker genes to predict cell types in new datasets.",AI / ML method,https://github.com/powellgenomicslab/scPred,,
singleCellNet,"A machine learning-based tool designed to classify cell types in single-cell RNA-seq data by comparing gene expression profiles to a reference database of known cell type signatures. It uses a deep learning model to accurately assign cell labels, making it particularly useful for annotating data from complex tissues.",AI / ML method,https://github.com/CahanLab/singleCellNet,,
CHETAH,CHETAH (Cell Hierarchical Type Annotation) is a machine learning tool designed for annotating cell types in single-cell RNA-seq data using a hierarchical classification approach. It leverages a set of reference gene expression signatures and uses a novel hierarchical classification method to assign cell labels at multiple levels of granularity.,AI / ML method,https://github.com/jdekanter/CHETAH,,
OnClass,"Supervised machine learning tool designed to classify cell types in single-cell RNA-seq datasets based on a large-scale, pre-built reference of cell type-specific marker genes. OnClass uses a multi-class classifier to assign cells to specific types, enabling accurate annotations even in complex tissues.",AI / ML method,https://onclass.readthedocs.io/en/stable/,,
scClassify,Supervised machine learning tool for classifying cell types in single-cell RNA-seq data. It uses a probabilistic model to integrate multiple gene expression features and assign cells to known cell types based on reference datasets. scClassify allows users to train the model on their own data or use pre-existing models.,AI / ML method,https://bioconductor.org/packages/release/bioc/html/scClassify.html,,
scNym,"Tool for annotating cell types in single-cell RNA-seq data using a reference-based approach. It integrates gene expression profiles with a prior knowledge of known cell types and markers to assign cells to specific types. Unlike traditional clustering methods, scNym incorporates a probabilistic framework to better handle cell heterogeneity and noise.",AI / ML method,https://github.com/calico/scnym,,
ACTINN,ACTINN (Annotation of Cell Types Using Inference of Neural Networks) is a deep learning-based tool for classifying cell types in single-cell RNA-seq data. It uses a neural network model trained on large-scale datasets to predict cell types based on gene expression profiles.,AI / ML method,https://github.com/mafeiyang/ACTINN,,
scReClassify,"A machine learning-based tool for annotating cells types in single-cell RNA-seq data, using a reference classification model that can be trained on user-provided datasets or pre-existing markers.",AI / ML method,https://www.bioconductor.org/packages/release/bioc/html/scReClassify.html,,
Moana,"Moana (Model-based Annotation of single-cell types) is a machine learning tool that provides cell type annotations for single-cell RNA-seq data. It integrates probabilistic modeling with reference gene expression data to predict cell types, offering a flexible approach to annotating datasets from complex tissues.",AI / ML method,https://github.com/yanailab/moana,,
CaSTLe,"CaSTLe (Cell Type Annotation via Scalable Learning) is a machine learning-based tool for annotating cell types in single-cell RNA-seq datasets, using a combination of reference gene signatures and a robust classifier to predict cell types, designed to scale well with large, complex datasets.",AI / ML method,https://github.com/yuvallb/CaSTLe,,
CellMeSH,A machine learning tool for annotating cell types in single-cell RNA-seq datasets by leveraging a multi-dimensional reference of cell type-specific gene signatures. It combines both supervised and unsupervised learning approaches to classify cells based on expression profiles.,AI / ML method,https://github.com/shunfumao/cellmesh,,
cellHarmony,A cell-matching algorithm designed to identify a cell's most similar analogue in a distinct single-cell RNA-seq dataset and find differentially expressed genes in each cell population.,Other algorithm / tool,http://www.altanalyze.org/cellHarmony/,,
Cell BLAST,"A cell-querying tool employing a customized neural network-based generative model that effectively handles batch effect, as well as a cell-to-cell similarity metric specifically designed for the model.",AI / ML method,https://cblast.gao-lab.org/,,
CIPR,"CIPR (Cluster Identity PRedictor) is a web-based R/Shiny application and R package that scores complex multi-gene expression signatures of unknown experimental cell clusters against known reference cell populations. Mouse or human references are available, but a custom reference dataset can be provided by the user.",Other algorithm / tool,https://aekiz.shinyapps.io/CIPR/,,
